ZIP	latitude	longitude	STATE
01245	42.2034	-73.2235	MA
01247	42.6996	-73.0937	MA
01253	42.2026	-73.0916	MA
01254	42.3818	-73.3667	MA
01255	42.1084	-73.1228	MA
01256	42.5996	-73.0207	MA
01257	42.0976	-73.3688	MA
01258	42.0938	-73.4661	MA
01259	42.0731	-73.2413	MA
01262	42.2884	-73.3177	MA
01266	42.3039	-73.385	MA
01267	42.6849	-73.2282	MA
01270	42.5138	-73.0476	MA
01301	42.6248	-72.6029	MA
01330	42.5224	-72.8195	MA
01331	42.5647	-72.1845	MA
01337	42.6969	-72.5781	MA
01338	42.5788	-72.803	MA
01339	42.6077	-72.8947	MA
01340	42.6873	-72.7376	MA
01341	42.5015	-72.7033	MA
01342	42.5413	-72.6106	MA
01343	42.6516	-72.9865	MA
01344	42.6099	-72.4211	MA
01346	42.663	-72.8326	MA
01349	42.5703	-72.4915	MA
01350	42.7227	-72.9825	MA
01351	42.5408	-72.5187	MA
01355	42.4517	-72.3299	MA
01360	42.6754	-72.4463	MA
01364	42.6106	-72.2922	MA
01366	42.453	-72.2252	MA
01367	42.6975	-72.9196	MA
01368	42.6786	-72.1855	MA
01370	42.5998	-72.737	MA
01373	42.4652	-72.6189	MA
01375	42.4651	-72.5545	MA
01376	42.6238	-72.5207	MA
01378	42.6753	-72.3423	MA
01379	42.5527	-72.404	MA
01420	42.5898	-71.816	MA
01431	42.6766	-71.8229	MA
01432	42.5537	-71.5862	MA
01436	42.6005	-72.0905	MA
01440	42.5844	-71.9857	MA
01450	42.6137	-71.5615	MA
01451	42.501	-71.5774	MA
01452	42.4838	-72.0053	MA
01453	42.5202	-71.7696	MA
01460	42.535	-71.4888	MA
01462	42.5895	-71.7206	MA
01468	42.5482	-72.0629	MA
01469	42.6667	-71.6936	MA
01473	42.5511	-71.9026	MA
01474	42.667	-71.749	MA
01475	42.667	-72.0485	MA
01501	42.1961	-71.8439	MA
01503	42.3838	-71.6354	MA
01504	42.0398	-71.5308	MA
01505	42.3563	-71.7209	MA
01506	42.1937	-72.1043	MA
01507	42.135	-71.9684	MA
01510	42.412	-71.6885	MA
01515	42.2033	-72.0466	MA
01516	42.052	-71.7526	MA
01518	42.1197	-72.1199	MA
01519	42.2021	-71.6727	MA
01520	42.334	-71.853	MA
01521	42.0576	-72.163	MA
01522	42.3811	-71.8687	MA
01523	42.4826	-71.6781	MA
01524	42.2478	-71.9184	MA
01527	42.1922	-71.7738	MA
01531	42.3189	-72.1295	MA
01532	42.323	-71.6463	MA
01534	42.1411	-71.6436	MA
01535	42.2693	-72.0782	MA
01536	42.229	-71.6967	MA
01537	42.1628	-71.8957	MA
01540	42.1188	-71.858	MA
01541	42.4566	-71.8817	MA
01542	42.2022	-71.9107	MA
01543	42.3845	-71.9676	MA
01545	42.284	-71.7156	MA
01550	42.0599	-72.0338	MA
01560	42.1756	-71.6813	MA
01562	42.2469	-71.9918	MA
01564	42.4412	-71.773	MA
01566	42.1036	-72.0804	MA
01568	42.1764	-71.606	MA
01569	42.0591	-71.6384	MA
01570	42.0521	-71.8484	MA
01571	42.055	-71.9351	MA
01581	42.2679	-71.6152	MA
01583	42.3691	-71.7841	MA
01585	42.2329	-72.1653	MA
01588	42.1195	-71.6657	MA
01590	42.1331	-71.7498	MA
01602	42.2722	-71.8497	MA
01603	42.2435	-71.8438	MA
01605	42.2895	-71.7896	MA
01606	42.3136	-71.7956	MA
01607	42.227	-71.7871	MA
01608	42.2623	-71.8008	MA
01609	42.2851	-71.8276	MA
01610	42.2457	-71.8089	MA
01611	42.2357	-71.8743	MA
01701	42.3214	-71.4374	MA
01702	42.282	-71.4332	MA
01718	42.5199	-71.4292	MA
01719	42.4884	-71.5176	MA
01720	42.4842	-71.4376	MA
01721	42.2568	-71.4685	MA
01731	42.4638	-71.2822	MA
01740	42.4365	-71.6065	MA
01741	42.5302	-71.3506	MA
01745	42.2928	-71.4998	MA
01746	42.1977	-71.4447	MA
01747	42.1244	-71.5352	MA
01749	42.3888	-71.546	MA
01754	42.4279	-71.4551	MA
01756	42.093	-71.5513	MA
01757	42.1577	-71.5209	MA
01760	42.284	-71.3497	MA
01770	42.2336	-71.3751	MA
01772	42.3009	-71.5304	MA
01773	42.425	-71.3101	MA
01775	42.4296	-71.5101	MA
01776	42.3846	-71.4235	MA
01801	42.4866	-71.1544	MA
01803	42.5022	-71.2027	MA
01810	42.6464	-71.165	MA
01824	42.5907	-71.3559	MA
01826	42.6831	-71.3005	MA
01827	42.6762	-71.5005	MA
01830	42.7959	-71.0526	MA
01832	42.7912	-71.1308	MA
01833	42.7241	-70.9823	MA
01834	42.7522	-71.015	MA
01835	42.7532	-71.0861	MA
01840	42.7071	-71.1597	MA
01841	42.7107	-71.165	MA
01843	42.6899	-71.1612	MA
01844	42.7344	-71.1888	MA
01850	42.6556	-71.3028	MA
01851	42.6281	-71.336	MA
01860	42.8385	-71.0119	MA
01862	42.5748	-71.2937	MA
01863	42.6324	-71.3907	MA
01864	42.5819	-71.0889	MA
01867	42.535	-71.1058	MA
01876	42.6119	-71.2279	MA
01879	42.6663	-71.4291	MA
01880	42.5035	-71.0656	MA
01886	42.5864	-71.4402	MA
01887	42.5599	-71.1666	MA
01890	42.4518	-71.1464	MA
01901	42.4614	-70.9464	MA
01902	42.471	-70.9401	MA
01904	42.4908	-70.965	MA
01905	42.4745	-70.9798	MA
01906	42.4685	-71.015	MA
01908	42.4285	-70.9257	MA
01913	42.8529	-70.9451	MA
01915	42.5688	-70.8617	MA
01921	42.6811	-71.0197	MA
01922	42.7566	-70.9265	MA
01923	42.5747	-70.9502	MA
01929	42.6294	-70.7796	MA
01930	42.6256	-70.6892	MA
01938	42.6819	-70.8491	MA
01940	42.5357	-71.0382	MA
01944	42.5819	-70.7693	MA
01949	42.6042	-71.0168	MA
01950	42.8134	-70.8998	MA
01951	42.7696	-70.8488	MA
01952	42.8487	-70.8631	MA
01960	42.5336	-70.9725	MA
01966	42.6549	-70.6234	MA
01969	42.7202	-70.8979	MA
01982	42.6275	-70.8606	MA
01983	42.636	-70.946	MA
01984	42.6007	-70.8838	MA
01985	42.7941	-70.9689	MA
02019	42.0778	-71.4741	MA
02021	42.1751	-71.1266	MA
02025	42.2358	-70.8194	MA
02026	42.2463	-71.1774	MA
02030	42.2366	-71.2845	MA
02032	42.1543	-71.2158	MA
02035	42.0627	-71.2471	MA
02038	42.0858	-71.4115	MA
02045	42.2836	-70.8802	MA
02048	42.0168	-71.2177	MA
02050	42.1141	-70.7149	MA
02052	42.1848	-71.3049	MA
02053	42.1538	-71.4268	MA
02054	42.1696	-71.3617	MA
02056	42.1162	-71.3299	MA
02061	42.161	-70.818	MA
02062	42.186	-71.1948	MA
02066	42.2005	-70.7625	MA
02067	42.1078	-71.1831	MA
02071	42.1017	-71.2719	MA
02072	42.1193	-71.1022	MA
02081	42.1473	-71.2605	MA
02090	42.2204	-71.2113	MA
02109	42.3632	-71.0537	MA
02110	42.3571	-71.0532	MA
02111	42.3506	-71.0597	MA
02113	42.3653	-71.0556	MA
02114	42.3628	-71.0674	MA
02115	42.3409	-71.0949	MA
02116	42.3508	-71.0765	MA
02118	42.338	-71.0701	MA
02119	42.3239	-71.0848	MA
02120	42.3322	-71.0963	MA
